slug,name,type,description,address,lat,lng,neighborhood,city,country,opening_hours,best_arrival_time,price_level,avg_price_eur,dress_code,music_types,crowd_types,vibe_tags,reservation_required,walk_in_ok,vip_available,phone,instagram,website,capacity,partner_status,promoted,quality_score,best_nights,active
jerry-thomas-speakeasy,The Jerry Thomas Project,speakeasy,Rome's original speakeasy — password required and worth it,"Vicolo Cellini, 30, 00186 Roma RM",41.898,12.4694,Centro,rome,IT,"{""mon"":[{""open"":""19:30"",""close"":""02:30""}],""tue"":[{""open"":""19:30"",""close"":""02:30""}],""wed"":[{""open"":""19:30"",""close"":""02:30""}],""thu"":[{""open"":""19:30"",""close"":""02:30""}],""fri"":[{""open"":""19:30"",""close"":""03:00""}],""sat"":[{""open"":""19:30"",""close"":""03:00""}]}",22:00,3,60,elegant,jazz|swing,date_friendly|international,hidden_gem|speakeasy|romantic|trendy,true,false,false,+39 370 113 2966,@thejerrythomasproject,https://www.thejerrythomasproject.it,55,none,false,0.95,fri|sat,true
the-court-palazzo-manfredi,The Court at Palazzo Manfredi,lounge,Rooftop cocktail bar with direct view of the Colosseum,"Via Labicana, 125, 00184 Roma RM",41.8893,12.4944,Celio,rome,IT,"{""mon"":[{""open"":""18:00"",""close"":""01:00""}],""tue"":[{""open"":""18:00"",""close"":""01:00""}],""wed"":[{""open"":""18:00"",""close"":""01:00""}],""thu"":[{""open"":""18:00"",""close"":""01:00""}],""fri"":[{""open"":""18:00"",""close"":""01:00""}],""sat"":[{""open"":""18:00"",""close"":""01:00""}],""sun"":[{""open"":""18:00"",""close"":""01:00""}]}",20:00,4,90,elegant,lounge|deep_house,date_friendly|international,luxury|romantic|rooftop_view,true,false,true,+39 06 7759 1380,@thecourt_rome,https://www.palazzomanfredi.com/the-court,80,pro,true,0.95,fri|sat,true
stravinskij-bar-de-russie,Stravinskij Bar — Hotel de Russie,lounge,Discreet garden cocktail bar inside the Rocco Forte hotel — A-list crowd,"Via del Babuino, 9, 00187 Roma RM",41.908,12.4768,Centro,rome,IT,"{""mon"":[{""open"":""09:00"",""close"":""01:00""}],""tue"":[{""open"":""09:00"",""close"":""01:00""}],""wed"":[{""open"":""09:00"",""close"":""01:00""}],""thu"":[{""open"":""09:00"",""close"":""01:00""}],""fri"":[{""open"":""09:00"",""close"":""01:00""}],""sat"":[{""open"":""09:00"",""close"":""01:00""}],""sun"":[{""open"":""09:00"",""close"":""01:00""}]}",20:00,4,80,elegant,lounge|jazz,business|international|couples,luxury|romantic|elegant,true,false,true,+39 06 32888874,@hotelderussie,https://www.roccofortehotels.com/hotels-and-resorts/hotel-de-russie,90,premium,false,0.97,fri|sat,true
the-race-club-speakeasy,The Race Club Speakeasy,speakeasy,Hidden bar behind a coffee shop — classic cocktails done seriously,"Via Labicana, 52, 00184 Roma RM",41.8896,12.496,Monti,rome,IT,"{""wed"":[{""open"":""20:00"",""close"":""02:30""}],""thu"":[{""open"":""20:00"",""close"":""02:30""}],""fri"":[{""open"":""20:00"",""close"":""03:00""}],""sat"":[{""open"":""20:00"",""close"":""03:00""}]}",22:00,3,55,casual,jazz|soul,date_friendly|locals,speakeasy|hidden_gem|trendy,true,false,false,+39 06 7720 5408,@theraceclubspeakeasy,,40,none,false,0.91,fri|sat,true
argot-roma,Argot,speakeasy,Tucked-away cocktail bar near Campo de' Fiori — Negronis and vinyl,"Via dei Cappellari, 93, 00186 Roma RM",41.8957,12.4691,Centro,rome,IT,"{""tue"":[{""open"":""19:00"",""close"":""02:00""}],""wed"":[{""open"":""19:00"",""close"":""02:00""}],""thu"":[{""open"":""19:00"",""close"":""02:00""}],""fri"":[{""open"":""19:00"",""close"":""02:00""}],""sat"":[{""open"":""19:00"",""close"":""02:00""}],""sun"":[{""open"":""19:00"",""close"":""02:00""}]}",21:00,3,50,casual,jazz,date_friendly|locals,hidden_gem|romantic|speakeasy,true,false,false,+39 06 6453 9450,@argot.rm,https://www.argotroma.com,45,none,false,0.92,fri|sat,true
salotto-42,Salotto 42,bar,Book-bar lounge facing the Temple of Hadrian — cocktails and a view,"Piazza di Pietra, 42, 00186 Roma RM",41.9,12.4811,Centro,rome,IT,"{""tue"":[{""open"":""18:00"",""close"":""02:00""}],""wed"":[{""open"":""18:00"",""close"":""02:00""}],""thu"":[{""open"":""18:00"",""close"":""02:00""}],""fri"":[{""open"":""18:00"",""close"":""02:00""}],""sat"":[{""open"":""18:00"",""close"":""02:00""}],""sun"":[{""open"":""18:00"",""close"":""02:00""}]}",20:00,3,45,casual,lounge,international|date_friendly,trendy|elegant|after_work,false,true,false,+39 06 678 5804,@salotto42,https://www.salotto42.it,70,none,false,0.89,thu|fri|sat,true
freni-e-frizioni,Freni e Frizioni,bar,Trastevere institution with cheap aperitivo buffet and a piazza out front,"Via del Politeama, 4-6, 00153 Roma RM",41.8888,12.4683,Trastevere,rome,IT,"{""mon"":[{""open"":""18:30"",""close"":""02:00""}],""tue"":[{""open"":""18:30"",""close"":""02:00""}],""wed"":[{""open"":""18:30"",""close"":""02:00""}],""thu"":[{""open"":""18:30"",""close"":""02:00""}],""fri"":[{""open"":""18:30"",""close"":""02:00""}],""sat"":[{""open"":""18:30"",""close"":""02:00""}],""sun"":[{""open"":""18:30"",""close"":""02:00""}]}",19:30,2,25,casual|streetwear,indie|electronic,locals|students|international,aperitivo|lively|local_authentic,false,true,false,+39 06 4549 7499,@freniefrizioni,https://www.frenietfrizioni.com,150,none,false,0.85,thu|fri|sat,true
ma-che-siete-venuti-a-fa,Ma Che Siete Venuti A Fa,bar,Tiny craft beer pub in Trastevere — one of Italy's first,"Via di Benedetta, 25, 00153 Roma RM",41.8895,12.4691,Trastevere,rome,IT,"{""mon"":[{""open"":""17:00"",""close"":""02:00""}],""tue"":[{""open"":""17:00"",""close"":""02:00""}],""wed"":[{""open"":""17:00"",""close"":""02:00""}],""thu"":[{""open"":""17:00"",""close"":""02:00""}],""fri"":[{""open"":""17:00"",""close"":""02:00""}],""sat"":[{""open"":""17:00"",""close"":""02:00""}],""sun"":[{""open"":""17:00"",""close"":""02:00""}]}",19:30,2,20,streetwear,rock,locals|international,pub|local|lively,false,true,false,+39 06 6456 2046,@machesieteveni,,30,none,false,0.86,thu|fri|sat,true
drink-kong,Drink Kong,bar,Cyberpunk-Tokyo cocktail bar — World's 50 Best regular,"Piazza di San Martino ai Monti, 8, 00184 Roma RM",41.8965,12.499,Monti,rome,IT,"{""tue"":[{""open"":""19:00"",""close"":""02:00""}],""wed"":[{""open"":""19:00"",""close"":""02:00""}],""thu"":[{""open"":""19:00"",""close"":""02:00""}],""fri"":[{""open"":""19:00"",""close"":""02:00""}],""sat"":[{""open"":""19:00"",""close"":""02:00""}],""sun"":[{""open"":""19:00"",""close"":""02:00""}]}",21:30,3,50,casual,electronic|synthwave,international|young,trendy|stylish|international,true,false,false,+39 06 2348 8666,@drinkkong,https://www.drinkkong.com,80,none,false,0.95,thu|fri|sat,true
hotel-locarno-bar,Hotel Locarno Bar,lounge,1925 Art Deco hotel bar in Piazza del Popolo — wood-panelled refuge,"Via della Penna, 22, 00186 Roma RM",41.91,12.476,Centro,rome,IT,"{""mon"":[{""open"":""17:00"",""close"":""01:00""}],""tue"":[{""open"":""17:00"",""close"":""01:00""}],""wed"":[{""open"":""17:00"",""close"":""01:00""}],""thu"":[{""open"":""17:00"",""close"":""01:00""}],""fri"":[{""open"":""17:00"",""close"":""01:00""}],""sat"":[{""open"":""17:00"",""close"":""01:00""}],""sun"":[{""open"":""17:00"",""close"":""01:00""}]}",20:00,3,45,elegant,jazz|lounge,date_friendly|international,elegant|romantic|art_deco,false,true,false,+39 06 361 0841,@hotellocarnoroma,https://hotellocarno.com,60,none,false,0.9,fri|sat,true
spirito-pigneto,Spirito,speakeasy,Pigneto speakeasy hidden behind a sandwich shop,"Via Fanfulla da Lodi, 53, 00176 Roma RM",41.8893,12.5128,Pigneto,rome,IT,"{""wed"":[{""open"":""19:00"",""close"":""02:00""}],""thu"":[{""open"":""19:00"",""close"":""02:00""}],""fri"":[{""open"":""19:00"",""close"":""02:30""}],""sat"":[{""open"":""19:00"",""close"":""02:30""}]}",22:00,3,50,casual,funk|soul,locals|date_friendly,hidden_gem|speakeasy|trendy,true,false,false,+39 351 543 8893,@spiritoroma,,50,none,false,0.91,fri|sat,true
co-so-cocktails,Co.So Cocktails & Social,bar,Pigneto cocktail bar — twee speakeasy aesthetic and creative drinks,"Via Braccio da Montone, 80, 00176 Roma RM",41.8907,12.5154,Pigneto,rome,IT,"{""tue"":[{""open"":""18:00"",""close"":""02:00""}],""wed"":[{""open"":""18:00"",""close"":""02:00""}],""thu"":[{""open"":""18:00"",""close"":""02:00""}],""fri"":[{""open"":""18:00"",""close"":""02:00""}],""sat"":[{""open"":""18:00"",""close"":""02:00""}],""sun"":[{""open"":""18:00"",""close"":""02:00""}]}",21:00,2,35,streetwear|casual,electronic|house,locals|young,trendy|local|hipster,false,true,false,+39 06 4543 5428,@cosocoocktails,,55,none,false,0.88,fri|sat,true
bar-san-calisto,Bar San Calisto,bar,The Roman dive bar — €1 espresso and €4 negronis day or night,"Piazza di San Calisto, 4, 00153 Roma RM",41.8881,12.4707,Trastevere,rome,IT,"{""mon"":[{""open"":""06:00"",""close"":""02:00""}],""tue"":[{""open"":""06:00"",""close"":""02:00""}],""wed"":[{""open"":""06:00"",""close"":""02:00""}],""thu"":[{""open"":""06:00"",""close"":""02:00""}],""fri"":[{""open"":""06:00"",""close"":""02:00""}],""sat"":[{""open"":""06:00"",""close"":""02:00""}]}",,1,10,streetwear,,locals,local_authentic|hidden_gem|budget,false,true,false,+39 06 583 5869,,,80,none,false,0.84,thu|fri|sat,true
chorus-cafe-prati,Chorus Cafe — Auditorium Conciliazione,lounge,Cocktail bar near the Vatican with live piano and outdoor terrace,"Via della Conciliazione, 4/A, 00193 Roma RM",41.9011,12.4595,Prati,rome,IT,"{""tue"":[{""open"":""18:00"",""close"":""01:30""}],""wed"":[{""open"":""18:00"",""close"":""01:30""}],""thu"":[{""open"":""18:00"",""close"":""01:30""}],""fri"":[{""open"":""18:00"",""close"":""01:30""}],""sat"":[{""open"":""18:00"",""close"":""01:30""}]}",20:00,3,55,elegant,lounge|jazz,date_friendly|international,elegant|rooftop_view|romantic,true,false,false,+39 06 6889 2774,@choruscafe.roma,https://choruscafe.it,90,none,false,0.9,fri|sat,true
the-garden-bar-de-la-ville,The Garden Bar — Hotel de la Ville,lounge,Rooftop garden lounge atop the Spanish Steps,"Via Sistina, 69, 00187 Roma RM",41.9067,12.4858,Centro,rome,IT,"{""mon"":[{""open"":""17:00"",""close"":""01:00""}],""tue"":[{""open"":""17:00"",""close"":""01:00""}],""wed"":[{""open"":""17:00"",""close"":""01:00""}],""thu"":[{""open"":""17:00"",""close"":""01:00""}],""fri"":[{""open"":""17:00"",""close"":""01:00""}],""sat"":[{""open"":""17:00"",""close"":""01:00""}],""sun"":[{""open"":""17:00"",""close"":""01:00""}]}",19:00,4,70,elegant,lounge,business|international,luxury|elegant|rooftop_view,true,false,true,+39 06 977 9351,@hoteldelavilleroma,https://www.roccofortehotels.com/hotels-and-resorts/hotel-de-la-ville,120,premium,false,0.96,thu|fri|sat,true
